 PRODUCT_SALES_ORDER_ID , SALES_ORDER_ID ,PRODUCT_ID,SALES
" 67,761,563 "," 6,413,323 ",2778,116.75
" 67,763,316 "," 6,413,515 ",152,674
" 67,710,257 "," 6,405,985 ",583,424
" 67,765,530 "," 6,413,791 ",583,855
" 67,767,791 "," 6,414,040 ",9468,222.75
" 67,769,729 "," 6,407,733 ",9081,97.5
" 67,770,341 "," 6,414,351 ",9081,492.5
" 67,771,140 "," 6,414,465 ",72,1166.25
" 67,771,459 "," 6,414,518 ",2438,385.5
" 67,773,665 "," 6,408,735 ",2778,233.5
" 67,774,070 "," 6,407,437 ",1070,79.5
" 67,774,714 "," 6,414,952 ",583,851
" 67,775,328 "," 6,415,028 ",1080,118.75
" 67,778,945 "," 6,415,452 ",152,167.25
" 67,778,987 "," 6,415,457 ",9468,376.25
" 67,779,214 "," 6,414,351 ",974,1206.5
" 67,757,503 "," 6,412,708 ",583,213.75
" 67,780,912 "," 6,407,437 ",8120,100
